,,,,Pump Price Rs/ Liter,,,,,
S.No,Customer Name,Address,City/Location,HSD,PMG,District,District 1,Province,Province
133,CHINAR PETROLEUM SERVICE,"Mouza Chatra Wasti, Tehsil Abbas Pur Poonch","Abbas Pur, AJK",85.95,77.47,AJK,AJK,AJK,KPK
6846,CHINAR PETROLEUM SERVICE,"Mouza Chatra Wasti, Tehsil Abbas Pur Poonch Distt","Abbas Pur, AJK",127.26,116.6,AJK,AJK,AJK,KPK
5964,MURSHID FILLING STATION,SUDHAN GALI ROAD BAGH CITY AJK,,127.26,116.60,AJK,AJK,AJK,KPK
798,NEW KARAKURAM PET SERVICE,ASTORE CITY,ASTORE,84.51,95.83,AJK,AJK,AJK,KPK
8572,NEW KARAKURAM PET SERVICE,ASTORE CITY,ASTORE,127.30,116.60,AJK,AJK,AJK,KPK
366,RAMA PETROLEUM SERVICES,Mouza Eidghah B/W 59-60 Km from Jiglot on Eidghah Road Tehsil & Dist. Astore Biltistan,Astore,85.95,77.47,AJK,AJK,AJK,KPK
7120,RAMA PETROLEUM SERVICES,Mouza Eidghah B/W 59-60 Km from Jiglot on Eidghah Road,Astore,127.26,116.6,AJK,AJK,AJK,KPK
6023,GORI KOT FILL STATION,KM95/96 VILL GORI KOT  DISTRICT ASTORE,,127.26,116.60,AJK,AJK,AJK,KPK
6008,ASTOR FILL STATION,GILGIT ASTOR RD ASTOR,,127.26,116.60,AJK,AJK,AJK,KPK
9385,New Karakuram Pet Service,Istoor City,Astore / Istoor,87.11,77.79,AJK,AJK,AJK,KPK
1677,SATTAR ALI KHAN FILLING STATION - MUZAFFARABAD,"DHAL CHATTYA SRINAGAR ROAD, DISTRICT JHELUM VALLEY, MUZAFFARADBAD AZAD KASHMIR",,128.33,117.67,AJK,AJK,AJK,KPK
6019,KASHMIR FILL STATION,KOTLI FATEHPUR ROAD  FATEHPUR(NAKIAL)  AZADKASHMIR,,127.26,116.60,AJK,AJK,AJK,KPK
6053,RATHORE FILL STATION,KM10/11 FWARD KAHUTA  BASTI PHOL BAN HAVELI  AZADKASHMIR,,127.26,116.60,AJK,AJK,AJK,KPK
4864,CHAUDHRY BROTHERS,PSO DEALERS RAIWIND.MAUZA AZAMABADKASUR.,,128.31,117.65,AJK,AJK,AJK,KPK
577,BAGH KASHMIR PETROLEUM,"MAIN BAGH ROAD , NEAR LARRI ADDA",BAGH,84.51,95.83,AJK,AJK,AJK,KPK
973,MOAZAM F/S,"Mouza Kotariry Koflo, on Bagh- Forward Kuhuta Road, 14 km from Bagh,",,127.26,116.60,AJK,AJK,AJK,KPK
8736,BAGH KASHMIR PETROLEUM,"MAIN BAGH ROAD , NEAR LARRI ADDA",BAGH,127.30,116.60,AJK,AJK,AJK,KPK
9584,Akhtar Filling Station Bagh,,Bagh,127.26,116.60,AJK,AJK,AJK,KPK
7342,BAGH FILLING STATION,DULLHI ROAD,BAGH,127.26,116.60,AJK,AJK,AJK,KPK
9228,BAGH KASHMIR PETROLEUM,MAIN BAGH ROAD,BAGH,87.11,77.79,AJK,AJK,AJK,KPK
6041,BASHIR AHMED & SONS,GOJAR KOHALA  DHIR KOT  BAGH,,127.26,116.60,AJK,AJK,AJK,KPK
1665,HILL VIEW FILLING STATION,"By-Pass Road, Bagh, Azad Kashmir.",,127.68,117.02,AJK,AJK,AJK,KPK
9548,Hill View Filling Station,"Plot Khasra No. 762, Mouza By Pass Road Bagh AJK",Morgah,72.75,64.50,AJK,AJK,AJK,KPK
7873,SHELL AMAR FILLING STATION,MAIN MANG BAJRI ROAD,BAGH AJK,127.26,116.60,AJK,AJK,AJK,KPK
9318,AL-MASOOD PETROLEUM,"BAHALOTE DAKHANA,","DADIYAL, AZAD KASHMIR",87.11,77.79,AJK,AJK,AJK,KPK
4513,CH NAZAR HUSSAIN,MIRPUR CITY AZAD KASHMIR,,127.26,116.60,AJK,AJK,AJK,Sindh
4517,AMANULLAH CHEEMA & CO,PSO  RETAIL DEALERMIR PURAZAD KASHMIR,,127.26,116.60,AJK,AJK,AJK,Sindh
